,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
1975-01-01,-6.518356333095846e-18,5.509903609368791e-19,1.6390706803598084e-18,-2.089438641708942e-18,0.3802296334440001,0.18538121890178813,-1.8599077028329048e-17,0.020448625033665083,0.4139405226205468,-1.1125866737162997e-18
1975-02-01,0.00832963231541484,7.26415455565288e-18,2.4349567136062423e-19,9.312864245311165e-19,0.31579851331037256,0.11163242409115766,6.900688422623798e-20,1.5750314644443848e-18,0.564239430283055,2.0816681711721685e-17
1975-03-01,7.239501731415766e-18,0.05026369388443888,-1.4613604385325305e-17,1.2835099687434107e-18,0.20087445744531343,0.1075407783581307,1.91370248150061e-18,2.720077847286704e-18,0.641321070312117,2.1399054316137017e-18
1975-04-01,1.6805613454774754e-15,1.4917861722225403e-14,-2.1287287320335085e-14,-5.189339774904459e-15,1.177595590124962,-2.8748129501324503e-16,-4.6427654021526976e-14,5.046847069359924e-14,4.398211679015534e-15,1.2696851212627703e-14
1975-05-01,8.700427815131207e-14,1.7394416363693197,1.7035566239190773e-14,-9.553223629475655e-14,-1.4763433415272747e-13,3.3312735839209315e-13,-1.8686232233194974e-13,-1.0253761124655016e-13,1.4252912797476658e-15,2.071521160207447e-14
1975-06-01,8.651274672693123e-13,2.3594505511979293,-1.4065920024679413e-12,-1.2584421246212703e-11,-2.4855550010812746e-12,-6.6603900942734465e-12,4.5414797760897135e-13,-3.649510906072797e-12,1.0713541081321865e-14,-5.726311394502691e-13
1975-07-01,5.061987219833186e-13,4.3858391590768895e-13,1.0615169069899128e-12,-1.733956958507028e-12,-1.4192851728649567e-12,-1.3103332969822109e-12,1.2074785704939215e-15,5.021977716639515e-13,2.1501872778718517e-13,1.9082150383730638
1975-08-01,-5.908954088415497e-11,0.6992142030388432,-4.0855949114291365e-12,-3.441739229073193e-12,-9.89513785265418e-15,-6.203081879926393e-12,-1.3075411377984749e-11,-2.1658118957784306e-09,-3.3564038641133406e-12,0.6634614640372659
1975-09-01,2.898287110230865e-18,6.385499218099825e-18,3.0559667192204034e-18,2.6538667467451582e-18,0.30152950440267834,1.476259753418153e-18,-9.756438883700227e-19,3.6319029435164e-18,0.14313153413620294,0.5553389614611187
1975-10-01,-2.746143994477928e-15,3.132253153147397e-14,-2.5481366182010796e-14,2.2896495808513222e-14,-3.324333342561472e-14,-2.8142494400110875e-14,1.2278287820575623e-15,4.078395688794714e-14,-1.0992957070976242e-14,1.1905285724391044
1975-11-01,-4.210423061261332e-14,-2.0372464927789475e-14,-3.265271981962152e-16,-5.485970332998931e-15,1.2442029980949008e-13,-2.5793741621708015e-14,3.249802620271132e-15,-6.905539860771872e-15,5.1975769833808705e-14,1.2104972027343468
1975-12-01,-2.8928376407046626e-18,-1.0706757525836322e-17,4.853813335507191e-18,-2.5434754536256957e-17,6.298198036912078e-20,7.025630077706069e-17,-6.2636741162204355e-18,2.1699651928758767e-18,0.22836332475437102,0.771636675245629
1976-01-01,-3.924857864733011e-15,3.1858110894494167e-15,-8.919311498168029e-16,6.916650379026892e-15,-4.615299441060404e-15,-4.402590666934331e-16,-3.129668903843922e-16,-4.001119091039812e-15,3.3287377795964567e-16,1.0590862496580846
1976-02-01,-2.0194617681126155e-14,-2.0702681465616617e-15,-4.784965077174723e-15,-2.0074655076239047e-14,9.99060769342041e-16,3.1830829552370854e-14,-7.0819366487766935e-15,1.815002423639476e-15,-4.385934653085808e-15,1.1016224079681984
1976-03-01,4.761427206299565e-18,1.4048865378736664e-18,2.3685265373696387e-18,1.87409889456004e-18,-6.259288906523876e-18,-3.496552006265752e-18,1.5822429697038633e-17,2.432155316356318e-19,0.08298836980130998,0.91701163019869
1976-04-01,7.296071886984398e-19,-8.973804514966352e-19,3.6469525545635336e-19,-3.26089653039433e-20,0.015512266231191292,-2.2287956128035595e-18,-5.554033124149007e-17,0.03347027478125864,0.2362142529979139,0.7148032059896362
1976-05-01,-9.883707976413559e-19,-1.4586245697053666e-17,5.581240208958588e-19,-3.874394049564462e-18,-2.7959865226275237e-18,-7.566875996724738e-19,-1.6012615011678245e-17,0.0711229762573071,0.12207089076959649,0.8068061329730964
1976-06-01,-1.556640717471913e-14,2.566512975949766e-15,-2.4203248319030688e-14,2.8982948305439708e-15,1.728601508271897e-14,1.784397608498977e-14,-3.4306637525802557e-15,4.467632559019238e-15,-2.4561749850963645e-14,1.0696633489037524
1976-07-01,-6.213279109829823e-12,-9.204680319726682e-14,-2.4350174000228692e-11,-8.789675078311198e-13,-2.2765653342314477e-11,-5.38777357974871e-12,1.1837239282872445,-4.4712402186177405e-12,-6.364810115366806e-13,1.2130151067806592e-12
1976-08-01,-2.7486326894258393e-19,-2.5153490401663703e-17,-6.183256832481098e-19,-3.9132085338405593e-19,-7.665564490176741e-19,1.3162975682806504e-18,-4.8403908929889826e-17,0.11552571193424252,0.0030131110527039174,0.8814611770130536
1976-09-01,7.022615821757569e-18,-1.4171916454422704e-18,1.2818039976941428e-18,2.7344740625380814e-18,5.023969835211391e-19,1.3413925597893683e-18,1.3877787807814457e-17,0.03803857944926277,7.070705934066529e-19,0.9619614205507372
1976-10-01,-2.2210777070076623e-16,1.3322498820479353e-15,-1.1102168607045847e-14,-6.106361045867849e-15,-7.32747282543994e-15,2.1649435987458265e-14,2.8865769675006337e-15,4.551924028317525e-15,-1.5765096745725197e-14,1.0791778060739992
1976-11-01,-1.51487812601977e-14,-7.768028583684471e-14,-3.329136540518346e-14,-1.9301705072316775e-14,2.6683883615074928e-14,-3.1530542677875856e-17,1.2853343825306326e-14,2.4495668597892123e-15,7.973924495621311e-14,1.1688117718277318
1976-12-01,4.800532887871967e-15,2.2057762560923057e-15,-2.5996390630445013e-15,2.328895149644737e-15,3.802623658663573e-15,6.644915191006406e-15,1.0580890796054538,-1.7548315153423366e-14,-1.4171798274828506e-14,-6.197284838083128e-15
1977-01-01,4.463020924639486e-18,-3.0957211994457607e-18,3.3736483464480065e-18,1.134701569240233e-18,-2.171699060449358e-17,5.23730365904547e-18,-8.345490283603977e-18,0.4094045069751606,0.096826183648908,0.49376930937593144
1977-02-01,4.460724302898076e-18,3.2166087198877986e-19,-2.5756322561893744e-17,1.7253064467359908e-18,1.0142905243621709e-18,0.008641245445994745,4.576587318058476e-17,0.43342814838526145,0.20378007095651993,0.3541505352122239
1977-03-01,-1.3010426069826053e-18,8.20328591645046e-19,-3.628519739447972e-17,7.730963464276177e-19,-7.994599426571744e-20,0.0781910488076041,-5.95599302729667e-19,0.3963420007447082,0.13479346760238045,0.39067348284530723
1977-04-01,-1.6029987951016247e-19,-3.4664973531930253e-18,8.3018264074968735e-19,-3.645799387278576e-19,-3.25460044310217e-18,0.08762224192932618,-4.139784992532998e-18,0.4468479331032369,0.16754389854713958,0.29798592642029736
1977-05-01,0.021937118573031322,-6.911788849595091e-19,-2.5004412602946946e-18,-1.4704491964334654e-18,0.03906466727988641,0.144283103454592,3.3637372401362775e-17,0.414448399615434,0.11765903776869946,0.26260767330835677
