,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
1975-01-01,7.332738259474279e-17,-1.3928620145465432e-16,-8.911074252998544e-17,1.0000000000000007,-5.713187347696236e-17,-4.85722573273506e-16,-7.915083268876272e-18,-1.8222486811304338e-17,-1.08553632465264e-16,2.224901854855818e-16
1975-02-01,-1.1776414802262815e-17,7.227868777803146e-17,9.409432551999226e-17,0.9999999999999998,5.766907094035307e-17,-3.3306690738754696e-16,1.794144523649858e-16,1.992471842528895e-17,6.433708886856278e-18,7.186361073301022e-17
1975-03-01,2.64109959654054e-17,-3.117492692899594e-17,8.379417543456295e-17,0.9999999999999997,-1.616924247866464e-16,1.9938323082209343e-16,8.190408952317136e-17,-2.7755575615628914e-17,4.001882769893622e-17,-1.0965367908522862e-16
1975-04-01,1.489662590400632e-16,2.033703888228264e-16,-2.7017750973585933e-16,1.0,1.8908002648461806e-16,-1.5367053632580282e-16,-1.464116312585096e-16,-1.0408340855860843e-16,3.057774079200546e-17,1.397019137091655e-16
1975-05-01,3.630379225012942e-20,-1.8637786400144115e-17,-1.576508118609163e-17,0.8237906948172318,3.114735823071963e-17,-6.308752288360527e-17,1.8274576517511867e-19,0.17620930518276837,2.1381973813823017e-17,1.579233251529492e-17
1975-06-01,1.995959396714569e-17,8.413203362444705e-18,-4.8172798322778335e-17,0.7674659547174989,9.27867471574662e-18,0.19023784061792146,2.2759815682356626e-17,0.042296204664579444,9.083098105012531e-17,2.8059327188615047e-17
1975-07-01,-5.032046862848473e-17,2.7838876835663246e-17,-1.9081958235744878e-16,1.0000000000000002,1.6277983429398274e-16,-5.081624358584255e-17,-9.069643153981189e-17,-1.4973459774586142e-16,1.4035509788194018e-17,1.0605756336984198e-16
1975-08-01,-7.844287894731596e-17,1.5411320112537954e-16,3.191891195797325e-16,0.9999999999999999,8.942698345873445e-17,-8.116666165245765e-17,-8.69934483551917e-17,-1.8016290337786046e-16,5.387268025562145e-17,2.7558106635437515e-17
1975-09-01,-3.0198538405934514e-18,1.3466791820953358e-16,-1.9434208339427815e-16,1.0000000000000004,1.9613709349224815e-16,-3.469446951953614e-16,-7.654742782821579e-17,-1.2493916327136557e-16,9.302947574795314e-17,-1.5681741965707243e-17
1975-10-01,2.292336088478362e-17,-4.801053298105068e-17,-6.498667214015757e-16,0.38548084925177606,6.696500685723644e-17,0.6145191507482249,3.4721638071345186e-18,-2.6366650427349834e-16,-4.979796594384953e-18,-3.645017815665567e-17
1975-11-01,5.621215074203257e-17,-5.1204952552496907e-17,0.06607164771776876,0.14799685729943182,4.6088879188236397e-17,0.7859314949827991,3.3169720040195304e-16,-8.325698399628972e-18,7.779224906636818e-17,-7.833443578722308e-17
1975-12-01,-1.2586287643421061e-15,-1.3646136300152036e-15,2.1428956238347236e-15,0.44687211576475033,-5.848009331963366e-16,0.5531278842352506,-6.373172168330785e-16,1.6178685233007014e-15,-2.1342996812766645e-16,-6.156968008690826e-16
1976-01-01,-1.4629169496245818e-16,-4.272254769098371e-17,0.22328875894026198,0.700015386752063,-5.120075090353967e-18,0.07669585430767539,3.247691490453676e-17,7.592870779203469e-17,1.0534727061603036e-17,-1.2318455429597892e-16
1976-02-01,-4.3766998010105927e-17,-1.6057358944597747e-16,0.09156302340467593,3.9394031849388013e-16,-1.6743891015474462e-16,0.9084369765953251,1.5268503419755527e-17,-5.080691410378366e-16,-1.1927470671712147e-16,-3.3867599675038255e-16
1976-03-01,9.879364410323097e-17,7.69773789681389e-17,-6.045329506961229e-16,0.16270417800649217,-2.5515723659814068e-18,0.8372958219935079,-1.288343268535153e-16,1.3315698937768886e-17,1.5701720104441027e-16,4.192755524970686e-16
1976-04-01,1.8217440405872358e-17,-2.6807714980770828e-17,-6.774591466049247e-17,0.052191966449233046,3.198787667239121e-17,0.947808033550767,1.2370436866522425e-16,-8.414237181833941e-17,7.173268650187337e-17,-2.5726808215902753e-16
1976-05-01,2.1549503121108094e-16,1.2944473858769894e-17,-4.902408334742331e-16,0.3307778346284462,8.913020803403657e-17,0.6692221653715537,5.714957468872553e-16,2.8667303043624864e-16,-4.597766270857615e-16,9.163033625317791e-18
1976-06-01,1.62312447438488e-16,-2.3475991930898887e-16,-4.456842552946376e-16,0.3627948506794711,-2.631093109284494e-16,0.6372051493205292,4.3817913387049935e-16,1.8286214703188226e-17,2.947057847275117e-17,2.0351513756311069e-16
1976-07-01,1.5309156841573024e-17,6.875445299980908e-17,1.0933309040744346e-16,0.25347306992412116,1.7347169122725877e-16,0.7465269300758786,8.473994140939102e-17,-1.0120893235082178e-16,5.555640018673853e-17,-1.1641519916087683e-16
1976-08-01,2.7282756579555003e-16,4.141804556922021e-17,-1.0275050156173286e-16,0.1649339167295208,1.052015111085091e-16,0.835066083270479,1.435365896817128e-16,-5.284136196829275e-18,-2.6474346813785346e-16,-1.3929879693034435e-17
1976-09-01,1.3200482971635391e-17,2.3213874452113475e-16,4.369888133837125e-17,0.2821774041660883,-5.2369106693751875e-17,0.7178225958339112,8.124963748350257e-17,7.364755821738761e-17,1.2928301800577526e-16,-1.3900729583508525e-16
1976-10-01,2.4228186078067083e-16,-1.4435297080473602e-16,1.4322656295739596e-16,0.2608842569059875,-6.459867615092853e-17,0.7391157430940121,1.789546894913618e-16,1.9888614598588813e-16,-1.865185912495626e-16,1.3325613100519893e-16
1976-11-01,1.3728654262034679e-16,9.714525394990312e-17,9.724758341326596e-17,0.23305455861610763,-8.15194021777047e-17,0.766945441383892,-5.829094719766658e-17,5.3249332791484967e-17,8.319580350406888e-17,7.128269604570291e-17
1976-12-01,1.5758342131379275e-17,-6.26955236076503e-17,-5.499995962094881e-17,0.2584017057224808,5.633539946599627e-17,0.7415982942775197,-1.5095384002393828e-17,-5.2722357241055056e-17,-2.10802508825958e-16,2.3488378949421476e-17
1977-01-01,-1.1218201543891364e-16,7.9758243905393725e-19,-3.422763535439872e-16,0.2749678357387308,-1.2595142230312413e-16,0.7250321642612696,-1.7247275736430618e-16,-1.2607873351467725e-16,6.479027820646297e-16,-1.7029968020716521e-16
1977-02-01,-1.162023797858982e-16,1.3938434744140052e-16,-1.5251753069815168e-17,0.17182139651327588,-6.865298621276066e-16,0.8281786034867251,-2.2184922764777543e-16,-8.739192543447271e-17,9.595544901220313e-17,3.745238325115524e-17
