,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
1975-01-01,-3.799581598014718e-17,3.7633530995667445e-16,-9.778418338021757e-17,0.9544994683655428,-1.8706452954774976e-16,0.045500531634457164,-1.1911433134453003e-17,1.9611286666744803e-17,5.552114303086219e-17,-4.1967498366755214e-17
1975-02-01,6.7678482499164765e-18,6.833985415939307e-17,-2.2357597205943944e-16,0.9348353331029509,4.0750870683456516e-17,0.06516466689704917,2.4193420873892277e-17,9.963034291640185e-17,-2.0171506196659965e-17,3.5128046317820527e-17
1975-03-01,6.337438487947716e-18,-7.60713742240572e-17,1.447449775013205e-16,0.9584511995831605,-1.0441154192233838e-17,1.6429361309636607e-16,-6.445654621462691e-17,0.041548800416839435,-1.1165694100522828e-16,3.514226182709789e-17
1975-04-01,-1.9971950147946192e-17,-1.2730228752842156e-17,-3.3384946126914794e-17,1.0000000000000002,8.119335776106189e-19,8.089923175975872e-18,5.736130917420953e-18,2.7755575615628914e-17,2.170501760848956e-17,-4.7005741144276813e-17
1975-05-01,8.069466345288985e-17,-1.3393591410395767e-17,-6.987043026369923e-17,0.9335269892490713,-7.941094127680883e-18,-7.284443630114854e-18,4.913520751733933e-17,0.06647301075092872,1.9668000753633875e-17,2.355273020169641e-17
1975-06-01,-1.2388715944399392e-16,-1.0612764506345547e-16,1.6893581845667475e-16,0.9999999999999999,-1.280778414695269e-16,2.3592239273284576e-16,1.3745168025073078e-17,-6.529892071965477e-17,-8.073159927332344e-17,-2.3716713073084836e-17
1975-07-01,1.7380533159750994e-17,-2.4966256913700707e-17,-1.1822516232698943e-16,1.0000000000000002,-1.7204690784295765e-17,-6.938893903907228e-17,-1.2234068565044358e-17,4.2547816899706755e-17,1.3206560333614173e-17,-2.4556553061045392e-17
1975-08-01,-5.212634243749578e-20,-4.5223590935294917e-17,2.0257160872464671e-16,0.9999999999999999,-4.1203069164644075e-17,-1.3877787807814457e-17,8.887629400797788e-17,2.7720863709073054e-17,1.0770995768981564e-17,-2.6654975752862024e-17
1975-09-01,6.087754626382978e-19,-4.143152086384417e-18,-2.605571195787549e-16,0.8778946894739829,1.661386361638109e-16,0.1221053105260171,4.566142595595221e-18,-7.878846872403251e-18,4.42339055244864e-17,2.798600827891009e-17
1975-10-01,-1.7498158864498698e-17,7.064359028792102e-18,-4.227513332914279e-17,0.2937780905311683,-2.8528867883018925e-17,0.7062219094688316,2.4876765831017204e-17,-4.835184660566658e-17,6.005408909350259e-18,-2.080070925064774e-17
1975-11-01,-1.0735532472479422e-16,-1.4553446431467936e-16,1.7069577847440312e-16,0.11950158846445004,-8.743848251622492e-17,0.8804984115355503,-7.371089046092256e-17,6.804953956030447e-17,3.710074415621571e-18,7.321681967014148e-18
1975-12-01,-4.577869301925237e-17,1.3580601893589075e-17,5.888612396504197e-18,0.28225154788881296,-1.2075114437208179e-16,0.7177484521111872,-7.576058682753775e-17,1.2663771929135551e-16,-5.145908289120735e-18,-1.9185908069513583e-17
1976-01-01,5.1421873072209725e-18,4.8279308230564165e-18,0.10028255694095584,0.5444286641610121,6.046602342074659e-17,0.3552887788980319,1.9881471696619563e-17,2.6338274748975677e-17,3.6710459604207715e-17,3.021874909301169e-17
1976-02-01,-8.086651185560362e-17,-2.8991788967293883e-17,5.828670879282072e-16,-7.230131272246047e-18,-1.3418196252049156e-16,0.9999999999999999,2.609814412603359e-17,2.33288160922455e-18,-1.2303989748570724e-16,-2.6814731451673477e-17
1976-03-01,-3.8156774879668047e-17,-6.300806820857862e-17,9.898692901042519e-17,0.0480534399906202,-1.4040037904915987e-17,0.9519465600093799,-5.2939077997509314e-17,1.0552475610357532e-17,1.3264223618166511e-18,-9.653100195217121e-17
1976-04-01,6.307831181926401e-17,3.7034741078844933e-17,-2.8361843486854274e-16,0.0,9.862509490234135e-18,1.0,-6.254483852382624e-18,5.228102423238268e-17,-3.699788812971504e-17,1.7574978953960276e-16
1976-05-01,6.312400479598072e-17,-3.567767774930471e-17,-2.80547596666278e-16,0.26033046074043176,5.859338618403489e-18,0.7396695392595684,9.359321011607251e-18,5.4514493972214865e-17,-1.2022399833156871e-17,9.721135717117538e-17
1976-06-01,1.2154690258008638e-16,-2.6463957031748516e-17,-1.977506515556823e-16,0.3166354851237637,6.597534981790968e-17,0.6833645148762361,1.7237609947485575e-17,1.0873638240456445e-16,7.485242049540421e-17,7.210951865549269e-17
1976-07-01,-1.0686315457031756e-16,-1.1005813075697967e-16,2.412226375539651e-16,0.17400967976914378,-8.186352124884431e-18,0.8259903202308565,-1.6106475582917054e-17,2.5350493364025143e-17,-3.0188560182827406e-16,-4.1353407396860356e-17
1976-08-01,-1.0551773045870402e-16,-3.816859051943511e-17,-8.147083127197929e-17,0.004744846648499779,-1.7681700008505758e-18,0.9952551533515004,2.5294106680810117e-17,-7.728856523841712e-18,1.343094964780659e-16,4.2072056374530006e-18
