,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
1976-01-01,-1.3629198566495677e-18,-2.103297959317384e-17,1.45224105304907e-17,0.2046926588816595,-6.713742301633952e-19,0.6490377606827807,-4.2271062264577575e-18,0.1190970701843579,0.02717251025120195,-3.784681717161134e-18
1976-02-01,3.378791513511924e-17,1.7230450808210853e-17,-3.480599509722591e-18,0.19719113110935702,8.419445787267022e-18,0.6605231591656855,-1.1157286913754725e-17,0.10446790714438016,0.037817802580577264,1.3725577799928255e-17
1976-03-01,8.507201434407782e-18,5.96868046183228e-18,-5.107061482386495e-18,0.1904630049610146,-3.461648829088222e-17,0.6682567804102876,6.892820093741572e-18,0.10114195619992782,0.040138258428770064,-1.564686689501457e-17
1976-04-01,7.316001575427979e-18,1.5221966221340746e-17,1.1246931372015972e-17,0.17655066663594918,-1.376281525483999e-18,0.6641555984881408,-2.846596758685754e-18,0.12199503516981301,0.037298699706097005,-3.4256519729018735e-18
1976-05-01,-1.031156303878557e-18,-9.908747168963452e-20,1.517120623902974e-17,0.1827795903002696,-1.2421797237258074e-17,0.6577691164336011,1.792003953666551e-18,0.11879070316351835,0.04066059010261105,-2.2750338034824066e-18
1976-06-01,-1.212082513204926e-18,-1.877414571357355e-18,6.812796209973349e-18,0.1744357935362388,-2.166237248794431e-18,0.7221210756370023,-5.0703864966249e-18,0.09296978665049835,0.010473344176260613,1.7026277920176843e-18
1976-07-01,-2.607315428405025e-19,-6.479669345692002e-18,5.979438898514544e-18,0.20608043286888794,-3.683478176116276e-18,0.7477977355231386,-8.301554039511656e-19,0.04612183160797345,-1.154980054717959e-17,1.328578289332978e-17
1976-08-01,-5.434843587087648e-18,-5.3185119772878396e-18,-7.105598135318582e-20,0.21394047689531467,-4.241130680767214e-18,0.7363342262813631,-3.833717394185497e-18,0.04972529682332236,1.643229041244197e-18,-2.564396967292697e-19
1976-09-01,-1.7267500877781342e-17,-3.323814338000511e-18,2.209884839971001e-18,0.2188952902716649,-5.382150548913295e-21,0.7351360073076497,-3.092347968418898e-19,0.04596870242068547,-8.269243664944278e-18,-2.6519766365469418e-18
1976-10-01,1.4985549805337766e-18,-1.886451532745502e-18,1.9649145774499458e-17,0.21216526820836729,-2.0361886078199526e-18,0.7528240143384257,-6.704398092808773e-18,0.03501071745320697,6.099819251691031e-18,-7.943306867178833e-18
1976-11-01,-6.765116705251959e-18,-2.0829444275301404e-17,1.1118193191192515e-17,0.19356988041111123,4.105040636195221e-18,0.7616829738191296,-4.698503722186664e-18,0.03266878090356585,0.012078364866193212,-6.6802290164552616e-18
1976-12-01,-1.7096361045432644e-18,8.603386634767367e-18,3.53761380667517e-18,0.18831770418941812,2.666437313574382e-19,0.7741616597936565,-2.41110473642381e-18,0.03752063601692549,-8.39748840958094e-18,-5.827257202150174e-20
1977-01-01,-1.604033971565863e-17,-2.6702298885355925e-18,6.488690376648699e-18,0.14342494607377762,1.399363350890412e-17,0.8217940222087929,3.87802967619692e-18,0.034781031717429536,-2.4019572074758665e-17,-1.0641285716177391e-19
1977-02-01,-1.0377734855764955e-17,-1.3799387859472128e-17,-5.370865788381604e-18,0.1119811993923658,-5.588853232694733e-18,0.8590939226844565,1.338009981974458e-18,0.02892487792317769,1.2871485283143052e-17,5.053397554610431e-19
1977-03-01,-9.740963687737937e-18,3.0688930923344674e-17,1.6469994025114286e-17,0.11142692066039957,-6.015692303167525e-18,0.8596407687628683,2.1969292335083877e-18,0.028932310576732113,-9.152886284541066e-18,5.0336030297293326e-18
1977-04-01,7.316138095063821e-18,5.165887562043183e-18,-9.762571172728177e-19,0.11146193378426848,-6.649926803777858e-19,0.8583351308378899,-4.124484569544995e-18,0.030202935377841633,1.1305597616565118e-17,1.3672543454338899e-17
1977-05-01,-1.3940219216811912e-17,-1.2611867455773333e-17,1.7834449193960313e-18,0.11476276682710844,-6.883259847427462e-18,0.8670484726546166,-1.5361538611880416e-18,0.018188760518274925,6.598516474305136e-18,7.740957443275493e-18
1977-06-01,1.5228064072641312e-18,2.362869048755685e-18,5.6250951109158135e-18,0.11280724003958921,-5.695857163235103e-19,0.8745829863455847,1.2105079132164244e-17,0.0126097736148261,4.4881860120917795e-17,8.220342359040196e-18
1977-07-01,1.505045258619776e-18,-9.472662811555043e-18,-7.654152515340522e-18,0.10755134364332401,3.099145707166133e-17,0.8833362028497646,4.945279373461889e-18,0.009112453506911459,1.6939791299976352e-17,9.38310922716827e-19
1977-08-01,9.13935065412549e-19,1.2454404083784264e-18,2.974867774090824e-17,0.09386788222695905,-9.998619065894414e-19,0.8843859469634265,2.7873536726622387e-18,0.021746170809614294,-1.23441258558469e-18,1.9555398258469572e-19
1977-09-01,-1.0335478158552281e-17,-3.908992107847646e-18,5.897089055907002e-19,0.09805696733024412,-2.3295911955485713e-19,0.8783846453621831,1.8189413584643137e-18,0.02355838730757269,-2.548124853656152e-17,9.271329593157718e-19
1977-10-01,5.9423415140685054e-18,-4.6226414677429716e-17,3.1116583850058715e-18,0.10686543753211675,3.879232967522314e-17,0.8612124047306862,-2.3836291164735002e-18,0.03192215773719705,2.899442755632098e-17,-4.57577670884611e-18
1977-11-01,3.2908880713655695e-18,-9.352728161468093e-18,-1.527489716373756e-18,0.1070345801007635,-4.1779695940335225e-18,0.8647711119488548,1.262495799052481e-17,0.02819430795038163,-4.048268167370253e-18,-5.379533960141706e-18
1977-12-01,2.4974555623533726e-18,2.594445081910942e-17,9.279418217917307e-19,0.11237864934233531,-1.6047031284430246e-17,0.8572866012931697,-3.0705115688581143e-18,0.030334749364494998,1.5109562179646544e-17,7.264955423977497e-18
1978-01-01,-2.0354007360436454e-18,-3.2660315089760078e-18,8.005888889827154e-18,0.09768088312283557,-1.5233004630847422e-17,0.8606623569842063,5.188899593077357e-18,0.041656759892958015,-1.5546584765134495e-17,-4.623890702994074e-18
1978-02-01,2.015243103242943e-17,-2.6585529305419387e-18,-3.036601282445987e-17,0.10343157356595645,2.43447315308099e-17,0.8507121689886518,2.812965569686434e-18,0.04585625744539171,6.098403729366515e-18,1.3070655422870426e-18
1978-03-01,2.213174074288581e-18,1.5399206613613034e-19,2.85976189012798e-17,0.09305802141648643,-1.2273219181181202e-17,0.8536947854327146,3.1963378548988206e-18,0.05324719315079906,-5.5731138143720836e-18,2.2278867007103716e-18
1978-04-01,2.841366520233785e-18,5.0540401189372e-19,-1.5849101024751784e-17,0.1098339617200831,-2.52410492389236e-18,0.8598572711240454,6.18601059914051e-18,0.030308767155871517,-1.140125508529313e-17,5.481547803349177e-18
1978-05-01,2.9192955209789506e-18,4.8592574349516914e-18,5.7232643166915955e-18,0.10994243230375547,-9.890278718734994e-18,0.85591509986729,9.273195380926552e-18,0.03414246782895449,-1.1599905238689858e-18,-5.659442330124372e-19
1978-06-01,-4.739566172613616e-18,-6.149480112172696e-18,1.7358298052111912e-18,0.10314843519295135,1.477243590036729e-17,0.8653065950586795,5.878775239236638e-18,0.03154496974836919,6.761142787688009e-18,1.0553563082694295e-17
1978-07-01,-4.903487949581577e-18,7.213408959461186e-18,-1.703034756298668e-17,0.10405578518325531,2.0424585424032773e-19,0.8681330975638962,-6.736493042110979e-19,0.027811117252848426,2.936397963112181e-17,-7.915476269786115e-19
1978-08-01,3.767818657040363e-18,1.455550125953496e-17,5.870437830949239e-18,0.13506773699975222,1.6542823816780932e-18,0.8511257819682918,2.487813862193743e-18,0.013806481031955987,-2.0816681711721685e-17,1.000671124606716e-17
1978-09-01,8.659487489290655e-19,9.715418886451374e-19,-1.852603358308836e-17,0.1246249216454025,-6.691827472010697e-20,0.8626003547971814,1.1390016755192726e-17,0.012774723557416063,-6.551676540485199e-18,1.6969811963519812e-17
1978-10-01,-1.442457413463655e-17,-3.614576482323728e-19,1.285665038488444e-18,0.1048437877110259,-5.350650899622942e-18,0.8937499049579803,-1.9987241518361713e-18,0.0014063073309938424,1.431146867680866e-17,-4.187641764320538e-18
1978-11-01,1.9117526338263493e-18,7.776115172942707e-18,2.211441823167503e-17,0.09585196554998447,1.425806904718411e-18,0.9041480344500156,-1.7896556552892444e-18,-1.5841006088482316e-17,-2.22763364177896e-18,1.4062129969980847e-19
1978-12-01,1.4545354881430482e-17,6.588226501608023e-18,4.599489127097722e-20,0.09733675085309475,3.5926165094494467e-19,0.9026632491469052,-8.783364628837694e-19,-9.82630968488398e-18,-2.4009049819111704e-17,-4.9858085873409536e-20
1979-01-01,-3.1288245683255698e-18,1.1819710041153901e-18,-3.731488285144955e-18,0.08588440331607868,-1.03916594624602e-17,0.9141155966839214,-1.285407225162565e-18,3.469446951953614e-18,-1.0411147297260096e-18,-1.992728432212694e-18
1979-02-01,2.3131897356605835e-18,8.199264032676745e-18,-7.666273594960229e-18,0.09781295843598223,-5.5410339473610085e-18,0.9021870415640179,8.980701177708956e-18,-2.9802499766737466e-18,-1.0104648509507168e-17,-8.040314243178521e-18
1979-03-01,-1.0665881983632542e-17,-1.9904889655427023e-18,-3.0726699201297152e-18,0.09649421414533263,-1.244056281181269e-17,0.9035057858546675,3.292062138939772e-18,1.7271095306649538e-20,2.7755575615628914e-17,-2.0471866275472183e-17
1979-04-01,7.977857220203584e-18,4.0993950127182e-18,7.866860233190615e-18,0.10719756030171144,-9.244506765638713e-18,0.8928024396982885,1.3656439558926836e-18,2.6409649197334266e-18,-1.3292776661087302e-17,-7.199876036322568e-18
1979-05-01,-6.487227457661658e-19,-8.67661033695535e-19,-2.4696868347525363e-17,0.10893080599185226,7.170591292156074e-18,0.8910691940081478,-9.163333394755804e-19,-4.2303660017110615e-18,1.3877787807814457e-17,6.625946022857584e-18
1979-06-01,-3.5992585206278545e-18,3.4504311726752843e-19,1.2182307114184382e-17,0.09893337241803893,-2.760966391218818e-18,0.9010666275819611,7.645479197811398e-18,3.2056218955041135e-18,0.0,4.512167381913655e-18
1979-07-01,-9.111389814770402e-18,2.3743511613615328e-17,1.6056602728773244e-17,0.09985211376798539,-2.359434059218503e-18,0.9001478862320146,-1.6115440027953254e-17,5.424139515934532e-18,0.0,1.1295250534531935e-18
1979-08-01,-1.1982810437837076e-17,6.95428635410145e-18,-3.335538197284963e-18,0.09467575209150093,2.3022701174489362e-17,0.9053242479084991,7.135721384654092e-19,8.10181637521968e-19,-6.938893903907228e-18,5.574344850869974e-18
1979-09-01,3.474026108683048e-18,-7.253671389145375e-17,6.855192114730528e-18,0.11317853682832231,5.080920482013494e-18,0.8868214631716778,7.134853826403699e-18,-2.1465075293557764e-18,1.3877787807814457e-17,-7.114630468363395e-18
1979-10-01,4.5711611967323116e-17,7.814646142473127e-18,-1.8226009285951236e-17,0.08465954692378533,2.6962631401886437e-18,0.9153404530762145,1.977600819492988e-17,1.997335148614961e-18,-6.938893903907228e-18,-7.133184586874094e-18
1979-11-01,1.7873533313109922e-18,1.6121077777968927e-17,3.28406453115439e-17,0.08396816318456449,9.042894655977313e-18,0.9160318368154357,-2.098269894420403e-18,-1.0841310055595791e-17,-2.882081045821843e-17,-9.205241241856869e-18
1979-12-01,3.053912680896786e-17,1.5121405248840034e-18,1.3463338300031934e-17,0.0995025047997443,-7.569249942415784e-18,0.9004974952002557,-9.168681597821139e-18,-1.889598380185012e-18,-1.0408340855860843e-17,2.1312958140293537e-17
1980-01-01,8.661843100736922e-18,-3.6556088663605505e-17,6.715001826806019e-19,0.11053977986365886,-7.29795256790803e-19,0.8894602201363412,1.995279846642572e-18,-1.6019240715976796e-18,2.7755575615628914e-17,-2.6701104578974886e-18
1980-02-01,-1.1218113609387927e-17,4.064017220619264e-18,1.0716691462218704e-17,0.10299303980685673,-2.5661879637319827e-18,0.8970069601931433,1.1855228056750635e-17,2.8864900639687636e-17,-6.938893903907228e-18,-9.077820771100906e-19
1980-03-01,-3.913991751598588e-18,3.904497493249415e-18,-2.8801382212498113e-17,0.06241043570888674,1.579164223564283e-17,0.9375895642911133,-3.5111516964272776e-18,8.712021237372399e-18,1.4072100025461352e-17,1.0202939438966591e-17
1980-04-01,-1.9324147518692066e-18,1.850901052845777e-17,2.8926525757761413e-18,0.07204933242036893,4.686883048658503e-18,0.9279506675796311,-1.282458275586926e-17,1.4899535344219194e-17,-4.0640425488647787e-17,4.7010946889966315e-18
1980-05-01,1.9185035814184007e-17,-1.3145004166340816e-18,2.1146004601347863e-17,0.08599545298528392,-1.800154820034693e-18,0.9140045470147161,-2.150394795707014e-17,-1.0885871259257528e-17,-3.9246770446456284e-17,-9.685644294395362e-18
1980-06-01,-3.1668810990338714e-17,4.080790356688624e-17,1.7726817291890834e-18,0.08968936342103942,-6.588633649285325e-18,0.9103106365789606,-2.9473275846337775e-18,-1.875158117359626e-18,4.068510500850021e-17,-2.9430579034596214e-17
1980-07-01,-4.896921981811199e-17,5.684610189960328e-19,3.4551756479786634e-17,0.06439770245653638,-3.5411772896554646e-18,0.9356022975434636,-2.606898383872741e-18,3.175765938317263e-17,3.7734933650230245e-17,-1.2825061945832729e-18
1980-08-01,-9.495152344018241e-18,3.701561838360449e-18,3.926832895671843e-18,0.08208149731239657,-7.246634562233595e-19,0.9179185026876033,4.419322294009262e-18,4.923457019089568e-18,1.678034452641963e-17,1.2254381652010077e-17
1980-09-01,-1.122754595347612e-17,-1.2538502653678228e-17,5.602395668167077e-18,0.10573852003655089,1.0301403956078903e-17,0.8942614799634491,-4.0036811033401574e-18,3.0340423301276948e-18,5.4915358810154253e-17,5.908131776359403e-19
1980-10-01,-6.497560212693296e-18,3.4165283494517567e-18,-1.747546956657414e-18,0.1480417024970752,-1.1660845253038603e-17,0.7956327481171767,-2.3873564181335085e-17,0.05632554938574827,-3.269396145735834e-17,1.458578890507408e-17
1980-11-01,7.400777666924183e-18,8.216335629207858e-18,3.6636276856487836e-18,0.13847838299087983,2.2758421083251343e-17,0.8255509505052671,-2.1439968336556167e-18,0.03597066650385315,7.755246862443893e-17,-4.453131507594598e-17
1980-12-01,-1.3811489557271438e-17,-2.3032341638688694e-17,2.9116295226630426e-18,0.12623557873252858,4.6671779179841555e-18,0.8320468002417214,2.384070986469673e-17,0.041717621025749996,4.0245888389977763e-17,-8.876877743665578e-18
1981-01-01,-2.1121901826153358e-18,1.303469961230135e-18,5.307426283553059e-18,0.124498685183898,-6.5126732684445205e-18,0.850021757356154,3.630412107384592e-19,-3.315677125477883e-20,0.02547955745994806,-1.6667377308134844e-18
1981-02-01,1.2599178551440261e-17,3.2379115456918972e-18,-6.215905344137963e-19,0.12191637063860152,-2.282393506301406e-18,0.8607906344440546,1.078545025496787e-17,0.0172929949173439,5.609719139010152e-18,-3.1304449216413488e-18
1981-03-01,1.9178451982373084e-19,1.8396848456376734e-17,-5.349804334569142e-18,0.12473528284350255,-6.507479293312579e-18,0.8613397887013464,7.738004298447179e-19,0.01392492845515115,6.992566028776719e-18,4.544330816115595e-18
1981-04-01,9.884287042272813e-18,5.123126121565226e-18,-1.2046810067881001e-17,0.12689223700659513,3.109223956324086e-18,0.8235954491523224,-1.9084182939585168e-18,0.004906736285854531,0.04460557755522782,3.4022961768265473e-18
1981-05-01,3.622820812057854e-17,5.807530074934115e-18,6.008033133486525e-19,0.1409102275284811,-2.473044608000484e-18,0.7731829847630116,1.0854388373322158e-17,0.003868594708138114,0.08203819300036917,-1.1080997673234282e-17
1981-06-01,1.241011680271813e-17,5.425640281086101e-19,4.774161899813068e-18,0.12123743198672476,-1.3602440936854096e-18,0.7151437946659289,5.272579200371421e-18,2.4815604096277596e-18,0.1636187733473463,-4.640965320484755e-18
1981-07-01,6.409423611335074e-18,-6.966668532655215e-18,3.3042795276294563e-18,0.11864509544832626,3.122046858873562e-18,0.7070974374477832,-1.2380072457023388e-18,0.011706075328400138,0.1625513917754904,-3.3067612217983606e-18
1981-08-01,-8.827605432136272e-18,1.8290597215074748e-18,2.72378390454419e-18,0.11358029887242858,-2.861103978956662e-18,0.723255392368696,-2.704051764786952e-18,0.00028695928064023565,0.16287734947823534,-1.055138535723363e-18
1981-09-01,-3.715305158873024e-19,-7.511963014016166e-18,6.913263041558936e-18,0.10848388096044351,6.30103356164526e-19,0.727941321447476,-2.1144851542305798e-18,0.020710945263402343,0.14286385232867815,6.1671561852928076e-18
