,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
1976-01-01,-2.874899327004741e-17,-9.463528418128901e-19,8.585196748478777e-18,0.36038835187533597,-4.198089829483556e-18,0.6392762362811626,6.192947227336189e-18,0.0003354118435013133,7.832409819727805e-18,-1.0963691830917024e-17
1976-02-01,9.81393368199791e-18,-2.7012517568282872e-19,-3.5376234496061514e-18,0.3361194851493843,-4.461659693572697e-18,0.6638805148506157,-3.7744259407203094e-18,7.942590873190778e-18,7.452959025005292e-17,-6.949303162849663e-17
1976-03-01,4.0450910123546125e-18,1.043816898492258e-17,6.160363025738385e-18,0.3655527083288173,-6.506690272918777e-18,0.6304666255928024,-1.5183599001071543e-17,0.003980666078380208,2.3046019213599233e-17,1.912986893089078e-17
1976-04-01,1.1895498919190226e-17,-6.691947730549762e-20,-6.998279299129566e-18,0.36077978061822275,-1.8259957231397972e-19,0.6361856684033829,2.4138997244250507e-17,0.0030345509783942137,3.7759941261373643e-17,2.334140862993054e-17
1976-05-01,-9.083920447274275e-18,-7.560421891694099e-18,2.690980537411782e-17,0.3507963481308814,-2.8682060544823195e-18,0.6252849238307463,-1.0140616570214351e-17,0.023918728038372274,3.261448791298177e-17,-1.9332263012169345e-17
1976-06-01,-3.238832306462738e-18,4.226875631604927e-18,-1.9876935593856073e-17,0.3070040940852121,-5.045705661016738e-18,0.692995905914788,3.547133259893877e-18,3.9197446197544725e-18,-2.3893215056203208e-17,4.827548732839761e-19
1976-07-01,-1.4792502710491566e-18,8.165980863859653e-18,3.0397087115516213e-18,0.30715527349839294,-9.55149038304813e-18,0.6928447265016069,-1.288604589301069e-17,4.443539046161514e-18,4.2736271624578015e-17,6.16740400999898e-20
1976-08-01,-5.510548005171935e-19,-2.4199436187659337e-17,-8.952790202490571e-18,0.2865674713487424,1.1090847798075011e-17,0.7134325286512576,9.460725518621246e-18,3.3988660264865974e-18,1.0454857633517853e-16,1.5015951360731654e-17
1976-09-01,2.16367483016706e-17,-3.702477527359401e-18,1.2671651586650397e-18,0.2809031101591209,-5.737196044806171e-18,0.7190968898408792,4.695315821812024e-18,1.7220082182628146e-18,2.506972930202647e-18,1.934617763882258e-17
1976-10-01,-6.709987319592321e-18,-1.79457880980919e-17,-2.6204607235949108e-17,0.22505703117611608,-4.844740871090067e-19,0.7749429688238839,2.965718199118652e-18,4.7889100190994154e-18,4.291670499983893e-17,5.602026073850193e-18
1976-11-01,7.395137066212079e-18,-7.610976131756066e-18,1.5089334367996393e-17,0.2191738466059978,-4.3165308295284453e-19,0.7808261533940022,7.815691319434397e-18,-1.086567261560719e-18,2.4048172333409587e-17,4.1585649965734035e-17
1976-12-01,-8.741055014083824e-18,3.869705511243085e-17,-6.175448254204982e-18,0.22893255480984834,8.061298608310735e-18,0.7710674451901515,1.3490937517016878e-17,-7.432728724734702e-18,7.112125200661113e-17,-7.286318933595373e-17
1977-01-01,-6.147712645740564e-18,1.2715770601910929e-17,6.666327366208033e-19,0.23139829328961498,-2.47782845761259e-17,0.7686017067103851,-2.6593171485268494e-18,-8.146861133425422e-18,2.8198558314535686e-17,-1.1989362504827221e-17
1977-02-01,1.1802864820079326e-18,3.032259108209651e-17,9.411306013472803e-18,0.13024973410490012,4.639283376706631e-18,0.8697502658950998,1.0509547219610126e-17,2.8040571092454534e-17,5.391454175785444e-18,-8.813763965371018e-18
1977-03-01,-2.6262544073578662e-17,1.6805490354502684e-17,9.416162633772806e-18,0.11263731697820213,5.1602331748459946e-17,0.887362683021798,-1.2405734176075215e-17,5.449745627407034e-18,7.194704173549752e-17,-3.666152421067858e-17
1977-04-01,-2.0069427056945477e-17,-2.6640950190402545e-17,1.0392370723326125e-16,0.10355221084947192,5.555774326709576e-17,0.8964477891505279,4.38301720923461e-17,6.783545021826173e-18,-2.009692150881292e-17,2.2955954832005224e-18
1977-05-01,-1.7399906731203705e-17,-2.301714729226923e-17,4.400735487138494e-18,0.09003949271693146,-2.130094174845463e-17,0.9099605072830688,2.813629722825322e-17,-1.870645500029269e-17,-1.6857878295745946e-17,3.072014941151538e-17
1977-06-01,-1.3523930022002117e-17,3.014741206989644e-17,2.433957731816578e-17,0.10825802583611321,6.393732096953963e-19,0.8917419741638868,-5.378248908053999e-17,-6.973598995477981e-18,-1.3499735419742115e-17,-2.1999077436849533e-18
