,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
1976-01-01,-1.534151393654228e-16,-6.558674981373854e-17,-6.869872607821508e-18,0.7101145355766117,5.825869671539862e-17,0.28988546442338825,1.8103579043983438e-17,6.070943418860171e-18,-1.3233740783574095e-18,7.377879859200003e-17
1976-02-01,5.517761851924294e-18,-1.810669319509349e-17,1.4033885146094778e-16,0.6002235803915209,-1.3745057155305846e-16,0.39977641960847915,-3.353088516770824e-17,-7.587704073872685e-17,8.368484498477808e-17,1.8148774033292796e-17
1976-03-01,5.067325551397252e-18,-1.1298179087629554e-17,3.088249402267903e-17,0.7857603083739328,4.3446424379443424e-18,0.21423969162606715,1.1702839372024835e-17,-7.880696008131955e-17,-5.927716397829749e-18,2.840258336617123e-17
1976-04-01,2.3793441987780002e-17,-1.860595977770322e-17,-4.2093954075688017e-17,0.8069075650011428,1.1750808188195942e-16,0.19309243499885698,5.1308280337545826e-17,5.790326132505764e-17,2.955175994620493e-17,1.1963540503379732e-17
1976-05-01,-7.725690575222483e-18,-4.235660513565049e-18,-7.34903791171715e-18,0.8373206535183921,2.6269053742201978e-17,0.16267934648160787,-5.700311768861833e-18,-2.0870075742033912e-17,-6.871189948054708e-18,7.622677085500208e-18
1976-06-01,2.2053728723506075e-17,-3.890410145298432e-18,-3.814319488208115e-18,0.7204959031463161,2.6467652391967513e-17,0.2795040968536839,5.131473679703485e-18,-7.334170770700518e-18,8.346078013075339e-17,-1.7108277174798518e-18
1976-07-01,-2.486322092884453e-17,-1.5374256788433728e-17,4.163336342344337e-17,0.6256965292299187,-4.147658859232816e-17,0.3743034707700813,9.982375502435518e-18,-1.4276300474662175e-17,-7.050224096476013e-17,1.997503162245311e-18
1976-08-01,1.1945354760908145e-17,-2.2395403322663607e-17,3.469446951953614e-18,0.46603058663703495,-1.4025675382904855e-17,0.5339694133629652,3.741023133524473e-18,-2.2950006588172696e-17,-5.3937193619450985e-17,-3.2879426563140736e-17
1976-09-01,1.5367672925003587e-17,-2.1435234263874722e-17,2.1333451256935333e-17,0.44324238038985514,-3.0406953926228757e-17,0.5567576196101449,-8.861430772660035e-18,-3.2953921139338944e-17,2.053498290057203e-17,2.1455633594492144e-17
1976-10-01,-1.6150868918204147e-17,1.9717974134519853e-16,7.377968696154234e-17,0.20803051348017126,-6.020232006094691e-17,0.7919694865198286,6.817758531951548e-18,8.628074157513504e-18,5.297318369826409e-17,5.520435279680588e-17
1976-11-01,1.3188189672426117e-17,8.804348776039125e-17,3.0613494233783525e-17,0.1837124782046769,-9.227640901615896e-17,0.816287521795323,9.306355492503459e-18,1.4785291976373726e-17,8.943563119637504e-17,2.280071087158864e-17
1976-12-01,-2.3936411529243627e-17,-4.5812429155021014e-17,9.134880693168386e-17,0.3228690673270795,1.5790257824232204e-17,0.6771309326729203,1.788817562339971e-19,-4.347346601238244e-18,4.775865285806873e-17,-3.963838700389446e-17
1977-01-01,1.4455347672341546e-17,3.041221461191179e-17,2.82540068380702e-17,0.5033453235356631,-5.3062058072382305e-17,0.4966546764643372,-1.7379299044742582e-18,-2.1970873964189965e-17,-2.333689290788015e-16,7.235078526300023e-18
1977-02-01,-8.565142179533675e-17,-4.348370921226283e-18,-1.675362684233483e-17,0.14789270861107415,-9.659753614815881e-18,0.8521072913889259,-2.928883401064459e-17,-9.133797312354236e-18,1.27381085037215e-16,-3.841682977942253e-17
1977-03-01,-3.0664424019295235e-17,-1.196122070252881e-16,-4.3492285368774983e-17,0.07223365372683718,1.587467248847926e-17,0.9277663462731628,2.1832902435420133e-17,-9.903221905465707e-19,-3.873743036208724e-17,8.48947381012931e-17
1977-04-01,-6.655405752372482e-17,-9.748297071820073e-18,5.431254921177504e-18,0.03290486478788064,-6.044839801919479e-20,0.9670951352121193,-2.4379352532477398e-17,-4.357032046458436e-17,1.4944980050433488e-16,-1.9366221750440663e-17
1977-05-01,2.202954645815598e-17,5.7684662358806945e-18,9.009061545265903e-17,-2.636779683484747e-16,2.2802185217335108e-17,1.0,-1.0234342420296011e-17,4.06059121046161e-18,1.9462411236988143e-17,-5.4612961874869836e-18
1977-06-01,4.619687072503433e-17,1.1781928551433168e-16,4.4813993491017745e-17,0.0698652705417117,-6.051956056465032e-18,0.9301347294582883,3.8008159677087115e-17,2.2954316736601825e-17,-4.673225801020595e-16,-2.0707013244564024e-17
1977-07-01,2.0148999693481427e-17,-1.0782817915674542e-17,-7.384236288831119e-17,0.001837564096199562,1.427159386947232e-16,0.9981624359038,1.1025890143690251e-16,6.528177239286127e-17,3.176931975536989e-17,6.311472305576884e-17
1977-08-01,1.6771512250138017e-16,9.16976681189829e-18,2.517402132023375e-16,1.2836953722228372e-16,1.824761291309142e-17,0.9999999999999997,-2.5865357968722697e-17,3.205190718713022e-17,-3.729920860568794e-16,2.7570078435831857e-17
1977-09-01,2.2702485864441555e-16,-5.864259720909364e-18,5.836094409908131e-17,-3.3610267347050637e-16,1.448251089780127e-16,0.9999999999999999,-3.139456261064459e-17,5.752548218611525e-17,-4.9878054850742193e-17,1.2269358770297285e-16
1977-10-01,-5.92283084363066e-17,-1.6698995564939518e-17,3.205090789512569e-17,0.028046580520036418,-9.577624504560298e-17,0.9719534194799633,-2.264561251371231e-17,-3.1911313285899566e-17,4.829106848167741e-16,-7.008632254131126e-18
1977-11-01,4.270272025685469e-17,-1.5042122837297963e-18,-1.2055156086757477e-16,0.06682118561273608,4.098944113427884e-17,0.9331788143872641,6.323389926312829e-17,4.4068535840413236e-17,-1.2028207130671503e-16,-9.558455574991139e-18
1977-12-01,-1.7496324393728963e-17,4.201582429023812e-17,-1.3045924771555042e-16,0.03513383467218474,-2.9595440343679417e-16,0.9648661653278159,3.499465422113262e-17,-3.0376798426385483e-18,-2.3523083179030713e-16,1.4298645771854016e-17
1978-01-01,1.3232649198851434e-16,2.0267900597699893e-17,3.03867341004748e-17,-6.938893903907228e-17,8.184948060365752e-18,0.9999999999999996,6.790192858838393e-18,2.3312858419786517e-17,2.678955712061614e-16,1.4366221745425485e-17
1978-02-01,4.515375301165378e-17,5.3352321282748225e-17,-1.7646822890988726e-17,0.0,2.757636988353261e-18,1.0,-4.809865617453884e-17,5.833474503387545e-17,-1.878103646681246e-16,1.2891140327356428e-16
1978-03-01,6.71139718863042e-17,8.2219301556318e-17,-2.00499747928265e-18,1.8735013540549517e-16,1.0972089001432527e-16,0.9999999999999993,3.0580913183831315e-17,1.4539504719842785e-16,3.3524866139647616e-17,4.196491633166575e-17
1978-04-01,3.015304977124098e-17,3.491343601392856e-17,2.0225167285166828e-17,-1.3877787807814457e-17,-1.986356570359462e-17,0.9999999999999997,4.9539095579278167e-17,2.191729363760952e-17,2.785341832777189e-16,8.472729972587523e-18
1978-05-01,-1.3416262997983964e-17,-8.854313096091204e-17,2.2388809851945418e-17,-1.1102230246251565e-16,-2.9360599413465814e-17,0.9999999999999999,5.966181160164827e-17,5.2866428719790256e-17,4.772165826760989e-17,5.194819450766115e-17
1978-06-01,-1.0001036794156117e-17,-6.466422232599952e-17,-1.083387541413162e-16,-8.326672684688674e-17,3.525389235328957e-18,1.0000000000000004,-2.7694004021276674e-17,2.1920705563968543e-17,-4.763021242784789e-17,2.389340357027681e-18
1978-07-01,-8.832316740394068e-18,-7.738081980323202e-18,1.537729201973947e-17,-1.2663481374630692e-16,-3.3480284305115773e-18,1.0000000000000004,-1.4023395498924377e-16,-3.806412948934347e-17,5.542305315090073e-17,-5.510930065591063e-17
1978-08-01,-9.019088942384827e-17,-2.1844004755024122e-17,7.81934232751464e-18,-8.326672684688674e-17,-4.4811427298944694e-17,1.0,1.630038465478571e-17,4.680315682870119e-17,1.2062090065201357e-16,3.682831211496729e-17
1978-09-01,-2.869896771062689e-17,3.1259384988377406e-17,9.29852551663353e-17,0.026945306690962345,-1.3746139823457265e-17,0.9730546933090374,7.676724953940851e-18,-1.1063273264641622e-18,-1.395234844306778e-16,4.432432570087891e-17
1978-10-01,1.2607954761161263e-17,1.405444067200706e-17,-7.62699512373988e-18,-8.326672684688674e-17,-4.0687063296788317e-17,1.0,1.6102462943278624e-17,5.966112021727258e-17,8.221927821909712e-17,2.125723233153988e-17
1978-11-01,7.07316914821548e-17,2.8538418832827423e-17,7.420508140165831e-17,-1.942890293094024e-16,3.209375167558952e-17,0.9999999999999998,4.1541435264502134e-17,-1.1812374839333234e-17,6.578623291606661e-17,1.0744731026210667e-16
1978-12-01,-4.7677971555684107e-17,-7.769713953903415e-17,-6.947486866816482e-17,0.0048027874167301254,-5.932421631796861e-17,0.99519721258327,-4.990453133513375e-17,-3.402154140757768e-17,5.5419010238062643e-17,-1.2975324595128204e-17
1979-01-01,3.062016946278878e-17,1.8696343499136235e-17,6.83152970378787e-17,-4.423544863740858e-17,3.184628161398118e-17,1.0000000000000002,-1.2462943953227389e-16,-5.632471267320687e-17,-1.6317766981231988e-16,3.8324639061767944e-18
1979-02-01,-2.9861341540899372e-18,-1.6152376175519702e-17,2.970737285582674e-17,-4.163336342344337e-17,3.0486334109191886e-17,0.9999999999999998,-1.2756702231356736e-16,-3.673457509361275e-17,3.3001426939703637e-16,3.798677884485247e-17
1979-03-01,8.15464039630275e-17,-8.987079861095456e-18,2.8088990404045176e-17,0.07576995308461948,-3.216518403003265e-17,0.9242300469153802,6.5538401664980815e-18,1.2438968361426075e-17,1.1097096798174972e-16,1.1474789568551495e-17
1979-04-01,-7.167152090176907e-19,-1.2943766720304746e-17,1.2297150774085908e-16,0.2787411870479659,6.675841103818603e-17,0.7212588129520342,-2.850734601560468e-17,-6.456524859799092e-17,-2.1467017383311277e-16,9.263413189313795e-17
1979-05-01,-9.917243955442429e-17,5.369522809655714e-18,-8.777808951079774e-19,0.28566635271031604,1.8742699771319304e-17,0.7143336472896842,8.768403675441805e-17,4.093274652069764e-17,-1.387970454403642e-16,9.466996569358118e-18
1979-06-01,2.2481068526669967e-17,-1.8288504600118958e-17,-8.525185813161427e-17,0.3883790284298498,6.324424163451328e-17,0.6116209715701502,-9.30708613758453e-17,-8.0395827144637e-18,2.52740574172248e-16,6.682288814845968e-17
