,MSITALL,MSGERML,MSSWITL,MSCNDAL,MSUSAML,MSUTDKL,MSFRNCL,MSJPANL
1976-01-01,8.182680946878272e-19,0.06519683432014477,0.06933857830622564,0.3087295438899789,5.3686084746269004e-18,7.41614567338568e-19,-1.3078412031074713e-17,0.5567350434836508
1976-02-01,2.7123608749364056e-17,0.08581900588007026,0.07001108192380043,0.2852730412679143,1.7548339078006516e-17,1.2429662331568106e-17,-8.706037427575564e-18,0.5588968709282149
1976-03-01,-2.2555718587309293e-17,0.11321212189175749,0.06732149518624403,0.28009465834938413,-6.991432767784928e-18,1.12823849243876e-17,-4.826478253855522e-18,0.5393717245726143
1976-04-01,-5.450896707158114e-18,0.15323235285945674,0.061899774391056366,0.273712556999981,8.310936800087589e-19,-3.855488034266255e-17,3.597428601373717e-17,0.5111553157495059
1976-05-01,5.672490417396145e-17,-6.860050419918132e-17,0.07961829108651436,0.3318249108978363,-8.430008465674682e-18,1.7735837924678933e-17,-1.371747593885965e-17,0.5885567980156494
1976-06-01,4.814541328385793e-17,0.020166595736823018,0.02439139834656677,0.4000770548413082,3.446224652533612e-18,1.7189296959649926e-17,-1.6512533902249362e-18,0.555364951075302
1976-07-01,1.7718328972582685e-17,0.04000048625153515,0.038759627306200646,0.36009458659364324,1.9667596875267592e-17,-4.323059096431691e-17,-8.54053673243212e-18,0.5611452998486212
1976-08-01,-3.486585316910459e-17,0.030432148437563124,0.05957130907122921,0.32788066314213893,-6.263451288307841e-19,-5.3282269541977656e-17,5.627327261727278e-17,0.5821158793490688
1976-09-01,2.982449603338835e-17,0.03744956743095549,0.027512934530226255,0.30413234199907646,-1.2666152112563469e-17,5.817434298913762e-17,2.23915887488219e-17,0.6309051560397416
1976-10-01,6.290484419737006e-17,0.08512309386988078,0.07487006581345387,0.21533505365233482,1.7670073888218813e-17,-1.0676524911662738e-17,3.451608451301624e-17,0.6246717866643305
1976-11-01,2.9227664562111863e-17,0.059888765253606244,0.09374118008099376,0.23451519235268278,-3.7495325458035004e-17,5.263626666444609e-17,-3.4423804243123355e-17,0.6118548623127172
1976-12-01,-7.160776716141449e-17,0.12950128736534533,0.19137488907878636,5.2385801309942937e-17,0.05190895947226812,8.104331689316288e-18,-5.368203766838868e-17,0.6272148640836002
1977-01-01,-1.1151469478586112e-16,0.173235930202111,0.17302936052958695,-1.0406275031104461e-16,4.544261132851301e-17,-5.293513269453019e-17,-7.604567454756011e-17,0.6537347092683023
1977-02-01,-2.7142999077661652e-17,0.14283339114499677,0.1664389761212317,0.029907423000260423,3.5476733234164145e-17,-6.244705587155703e-17,-4.044581597848444e-18,0.6608202097335112
1977-03-01,-5.0862217727938416e-17,0.1041356381881593,0.17078861191975314,0.03818107271181879,-8.049583850195446e-18,-6.790256219285497e-17,-3.689355967216853e-17,0.686894677180269
