,MSITALL,MSGERML,MSSWITL,MSCNDAL,MSUSAML,MSUTDKL,MSFRNCL,MSJPANL
1980-01-01,1.3762346305767523e-16,-4.208834082088816e-17,-9.020562075079397e-17,2.062588919302218e-17,3.2582207908105214e-16,1.5850783169622857e-16,-4.96870334699649e-16,0.9999999999999999
1980-02-01,2.257007909357926e-16,-1.3877787807814457e-17,6.245004513516506e-17,-1.4585604436746528e-16,5.4242670221121743e-17,-7.27314152697125e-17,-3.1277297137106615e-16,1.0
1980-03-01,7.191442601611025e-17,3.6086824001304993e-17,-6.661338147750939e-16,-3.560805627449096e-16,-4.2334824322467e-17,-4.4194746438547506e-16,-1.1102230246251565e-16,1.0000000000000016
1980-04-01,-9.42207684282612e-18,-2.7755575615628914e-17,2.51309286407208e-17,-1.6625538935463302e-16,2.7067367439457238e-17,4.295714299103255e-17,-8.546713262139175e-17,1.0000000000000002
1980-05-01,-3.4836426427046255e-16,4.19403879732896e-16,2.220446049250313e-16,1.2864239220857412e-16,-1.668395683909794e-17,8.857429971813008e-17,3.5610697478933764e-17,0.9999999999999993
1980-06-01,-1.2680040007320224e-16,1.6072461850916484e-16,-6.938893903907228e-17,-6.625331911436271e-17,5.0224699181476135e-17,-4.443014022248444e-17,6.711483051347552e-17,1.0
1980-07-01,-1.1110256823934418e-16,0.055064016837956524,-3.029619906395685e-17,0.11582108614907692,-7.678802352526467e-17,1.71398271954322e-17,-1.1432825018407174e-17,0.8291148970129668
1980-08-01,-3.848269998509274e-17,-3.469446951953614e-18,5.05911379747788e-17,7.719519468096792e-17,-6.300401474073536e-17,4.0262690300364826e-18,-4.4292719180415e-17,1.0
1980-09-01,-3.4591100328489185e-16,3.642919299551295e-16,1.2312912397286847e-16,3.885780586188048e-16,-3.4329464500436507e-18,2.2212423363333272e-17,2.1904829498302308e-17,0.9999999999999994
1980-10-01,-8.386818577693883e-17,-6.245004513516506e-17,-3.228034552281946e-17,1.9231144171787567e-17,7.255600204940691e-17,1.4732507038526637e-17,8.669451871928977e-17,1.0
1980-11-01,-8.586444851585392e-18,1.7358283271187673e-17,2.185751579730777e-16,5.222317573079862e-17,-3.843707797021878e-17,-7.501964052378621e-17,6.743566837387527e-17,0.9999999999999998
1980-12-01,-2.0438071253667637e-17,-6.272652843451034e-17,0.0,-7.236569078521116e-17,-4.38700549579008e-18,3.8205813109944995e-17,1.1948463457269986e-16,1.0
1981-01-01,-3.588348276529279e-18,-1.1102230246251565e-16,-9.663514742600349e-17,-1.7016127891497456e-16,3.5228203650180855e-17,7.017247064266267e-17,1.0983847982047735e-16,1.0
1981-02-01,9.00013587856542e-17,-1.2405935793161805e-17,-1.5959455978986625e-16,-3.0754341125153174e-17,-6.380789110966232e-17,2.1510571102112408e-16,1.2560105031739041e-16,1.0
1981-03-01,1.491924128734984e-16,-7.358001951142097e-17,1.196959198423997e-16,-5.810716233429838e-18,2.3112620505991775e-16,-4.7833720566972946e-17,-2.4636719250635064e-16,0.9999999999999999
1981-04-01,1.9557567335930205e-18,1.942890293094024e-16,1.3877787807814457e-16,4.588149967417352e-17,-1.7699023512384613e-16,1.1102230246251565e-16,-7.642386544876543e-17,0.9999999999999998
1981-05-01,-2.153136046031159e-16,1.0895476311220633e-16,7.985404589524738e-17,3.564611983537556e-17,-1.474278749486203e-16,6.245004513516506e-17,5.1094114209229503e-17,1.0
