,MSITALL,MSGERML,MSSWITL,MSCNDAL,MSUSAML,MSUTDKL,MSFRNCL,MSJPANL
1975-01-01,6.700788708272331e-17,-5.551115123125783e-17,2.0816681711721685e-17,-1.1102230246251565e-16,-1.1789605933162746e-16,-2.6945139212783068e-17,-8.447603880433991e-18,1.0000000000000002
1975-02-01,2.916788646527521e-17,-1.5073570506192927e-17,2.1510571102112408e-16,1.4687979357938153e-16,-2.3642921823995747e-17,-2.1892883637784531e-16,1.0675297863008903e-17,0.9999999999999999
1975-03-01,-5.7483679257327236e-18,-2.7755575615628914e-17,1.1658598637651065e-16,1.2508439120242903e-16,-1.1626533533090564e-17,-1.0428671622732617e-16,-4.171310524829439e-17,1.0
1975-04-01,-2.698596395450021e-16,3.469446951953614e-17,-5.0654828121003e-17,4.616275060326103e-17,5.056457626966066e-17,-9.259120882797752e-17,1.4942626628929723e-16,1.0000000000000002
1975-05-01,-9.963443385252767e-18,5.277533334950565e-17,4.206704429243757e-17,2.9127518435435e-17,-3.5759616205995375e-17,1.7075185127287905e-17,-3.006582477854378e-17,1.0
1975-06-01,2.0462055178573402e-17,2.1332035357699348e-17,0.05458441921520033,-5.656279908572103e-18,-1.8029343145373308e-17,2.7966479798680325e-17,5.816323570822027e-18,0.9454155807847996
1975-07-01,-6.343334437453996e-17,-2.2977314769065625e-17,0.03466400915713576,-4.598656647832431e-17,-4.031242928568085e-17,2.7772030002953924e-18,-5.4260410420987374e-17,0.9653359908428645
1975-08-01,-1.9556416336381473e-16,1.3052073722689282e-16,-2.7755575615628914e-16,2.0457872144969077e-16,1.635537854014163e-16,3.415315871717564e-17,-1.031971495216911e-18,0.9999999999999998
1975-09-01,3.288825435576042e-16,-1.734723475976807e-16,-2.0816681711721685e-17,-1.1796119636642288e-16,7.38737597662946e-18,-1.962157885156849e-17,-1.4839190210675763e-16,1.0000000000000002
1975-10-01,1.8258803149279717e-16,-1.3877787807814457e-16,-1.942890293094024e-16,-5.2320360020380285e-17,3.6782608767787546e-18,2.8651328747160904e-18,1.8934143422444824e-17,1.0000000000000002
1975-11-01,-1.3093732823744044e-16,8.326672684688674e-17,-1.942890293094024e-16,1.1862221113944463e-16,-4.252852937492919e-17,-4.415074102847805e-17,1.4076685768901676e-16,1.0
1975-12-01,7.867277614415629e-17,-6.245004513516506e-17,-7.665309359472516e-17,4.643565837791345e-17,-6.480579784002994e-17,1.2703404956019025e-16,5.565785683753608e-17,0.9999999999999999
1976-01-01,-7.927423441619025e-17,2.7755575615628914e-16,-2.8420271359997756e-17,-3.775477703019644e-17,3.403072531861197e-17,-2.640474903831508e-17,-1.498669331659711e-17,0.9999999999999999
1976-02-01,2.9222581635914305e-17,-3.469446951953614e-17,-2.233970941610102e-18,-4.217751540597509e-17,-5.28787686717306e-17,3.1989760301629494e-17,5.254854044163249e-17,1.0
1976-03-01,1.3492982066813692e-16,-1.7894734010390024e-16,4.85722573273506e-17,-1.098918333033218e-16,1.2490304447400122e-16,6.202608666410962e-17,-4.980869408721e-18,0.9999999999999998
1976-04-01,-5.4996491398753205e-17,1.734723475976807e-16,2.745639290419142e-16,2.7800771584209883e-17,-9.525271936887992e-18,-3.623292109749693e-17,-4.976823928167531e-18,0.9999999999999998
1976-05-01,-2.591325077545559e-16,1.3877787807814457e-17,-3.090635046853125e-16,6.029624249746008e-17,-1.0135120818580702e-16,1.746338795959104e-17,1.1345612130724494e-17,1.0000000000000004
1976-06-01,-1.4683508044988176e-17,-2.827996911185335e-17,2.636779683484747e-16,-7.925624038498899e-17,2.1029419722626688e-17,-6.396096443877594e-17,-4.369217849446943e-17,0.9999999999999998
1976-07-01,1.6836154220269672e-16,1.8913650030786815e-16,-6.938893903907228e-17,3.242740907260455e-16,-8.296452438060692e-18,-7.157453987550633e-17,2.4187184730846557e-17,0.9999999999999993
1976-08-01,1.3860972486817705e-16,-6.18150604107569e-16,4.163336342344337e-17,-1.2542283774932546e-16,-5.185330771238109e-17,1.2022931915264457e-16,-1.2139355021494987e-16,1.0000000000000007
1976-09-01,-1.979452153201638e-16,1.942890293094024e-16,6.938893903907228e-17,1.7403459705566778e-16,1.4568584292462543e-16,-3.1843345265317992e-16,5.989838834411757e-17,1.0
1976-10-01,-1.208441424039169e-16,-2.7755575615628914e-16,1.97758476261356e-16,-4.611972393565464e-17,5.173085387439289e-18,-7.98917008475309e-17,-1.4929441543733675e-16,1.0000000000000004
1976-11-01,-1.2455139328450153e-16,0.0,-8.268126097068591e-17,4.665172567391306e-18,6.6406799638167955e-18,2.0508017600771852e-17,3.333331627628176e-17,1.0000000000000002
1976-12-01,-1.8732641724363385e-16,7.494005416219807e-16,8.246181165642086e-16,2.2182234201950873e-17,9.408127953676415e-17,-6.441771252028521e-16,-1.9713050836844503e-16,0.9999999999999993
1977-01-01,1.4418887586460707e-17,-2.0122792321330962e-16,5.970748825287849e-17,-1.971598030755903e-17,-2.8365545073271885e-17,1.8738889614116128e-18,4.097058032846304e-17,1.0000000000000002
1977-02-01,1.8851694319439095e-16,5.377642775528102e-16,-2.7392709547333885e-16,-1.582064493507292e-17,-6.598740642126485e-17,-1.4540029527108367e-16,6.254016072766143e-17,0.9999999999999998
