,MSITALL,MSGERML,MSSWITL,MSCNDAL,MSUSAML,MSUTDKL,MSFRNCL,MSJPANL
1974-01-01,1.013897686000816e-16,1.4966495267618248e-17,-8.500921783563193e-17,2.7755575615628914e-17,-1.5773115433727597e-17,4.90413434859005e-17,1.29501960772557e-16,0.9999999999999998
1974-02-01,2.831782749101733e-17,-4.87307464298381e-17,2.427760979268655e-17,-2.498001805406602e-16,3.459437515282011e-17,-1.8693652053022484e-17,1.5680640851244147e-16,1.0
1974-03-01,-1.229931147129986e-17,9.171317234239349e-18,-3.23857465904461e-17,-1.1102230246251565e-16,6.919401128854719e-18,-1.933197515293835e-17,2.5362685841181825e-17,1.0
1974-04-01,-2.868767719048007e-17,8.287599327353081e-17,-5.968188695812942e-17,1.1102230246251565e-16,-1.3997878876265581e-18,-1.089424701776291e-17,3.291324258787645e-18,1.0
1974-05-01,-1.543292812013296e-16,-7.585856577538179e-17,1.7512701538762667e-16,5.551115123125783e-17,9.855285663088318e-19,8.995370355763182e-17,-7.639847079177768e-17,1.0
1974-06-01,-6.413370226077765e-17,9.594146348291208e-17,-3.3245592260501363e-17,3.3306690738754696e-16,1.3729144965659526e-17,-5.862248589732465e-17,-3.5368156357859455e-17,0.9999999999999998
1974-07-01,-1.3922304244048105e-16,-3.42580940146385e-17,6.24482868845831e-17,1.3877787807814457e-16,-4.505661531481674e-17,-1.7957548423788732e-16,-6.696130277644908e-17,1.0000000000000002
1974-08-01,2.0326647324743742e-16,3.375933157270954e-18,-1.260718887889764e-16,-1.3877787807814457e-16,4.601609961110991e-17,3.725484503412945e-17,5.510538014257605e-17,0.9999999999999999
1974-09-01,-1.284699327235762e-16,1.2708413306844815e-16,1.5351436323976167e-16,2.7755575615628914e-17,-3.1861188745201393e-17,-1.0994944503086045e-16,-2.7996554574048456e-17,1.0
1974-10-01,-1.9451806527779904e-17,-2.671474153004283e-16,-9.561610111469918e-18,2.420605600571677e-17,-8.239812052555847e-17,-1.477103793120286e-17,-1.0026708281196044e-16,1.0000000000000007
1974-11-01,1.6031027701860087e-16,-2.3328278012630177e-16,-1.734723475976807e-16,-9.107836748608281e-17,-2.7234933375601558e-17,1.9834218562288456e-16,4.557334556318042e-17,1.0000000000000002
1974-12-01,-5.098941730774051e-18,9.71445146547012e-17,4.163336342344337e-17,-1.4252312773907556e-19,-1.2914854373837861e-17,-5.100004422480524e-18,-6.818377328896567e-17,1.0
1975-01-01,-4.975685390443167e-17,1.942890293094024e-16,4.2502301774283915e-17,8.914038166384421e-17,-4.1136209441709794e-17,-3.7900109075319115e-17,-8.194803978030279e-17,0.9999999999999999
1975-02-01,4.269332508085418e-17,-1.385789581498787e-16,0.013762708385479605,-9.904275055124291e-17,-3.062980283122e-17,7.532111155705655e-17,3.231272382188227e-17,0.9862372916145205
1975-03-01,1.7069462899614159e-16,-2.3592239273284576e-16,1.408676368175677e-16,-7.095978425361355e-17,7.686623843657589e-17,6.687127504919143e-17,-7.687136945515098e-17,1.0
1975-04-01,-6.46688735019793e-17,5.551115123125783e-17,-5.875174570883306e-17,2.3189174517573865e-17,-8.900372343243067e-17,-3.882305634115667e-18,4.419401853241513e-17,1.0000000000000002
1975-05-01,8.784585368131796e-17,0.12783060225343956,-1.2355163444753508e-16,-8.968027418730889e-17,1.4544219739720635e-18,1.0410719845144027e-18,2.79433338289659e-17,0.8721693977465605
1975-06-01,8.626999049088837e-18,-9.51172643027579e-17,0.09892056126659646,2.3157798080765308e-17,2.9713481786238026e-17,-2.78862277744018e-18,-5.841916686752452e-18,0.9010794387334036
1975-07-01,8.219638622886828e-17,-2.3710494773436347e-16,0.09775873980225366,-9.991706174493754e-17,6.488103931825454e-17,6.538741926592986e-17,2.3813858352054464e-17,0.9022412601977465
1975-08-01,2.09084356003534e-17,0.03356830333372068,0.06415058004225781,-7.42174534867989e-18,8.664135589206903e-18,-7.514613259984965e-17,-4.912499746760469e-17,0.9022811166240217
1975-09-01,-8.117724312914725e-17,1.457167719820518e-16,6.121449262377404e-17,-1.1791671245589136e-17,-3.9303208845521775e-17,-6.5866034720520655e-18,-9.363951710831238e-18,0.9999999999999998
1975-10-01,1.8165080430391545e-17,0.1048747413742826,-4.125773103404508e-17,-1.3125845430830738e-17,6.841353947957391e-18,3.2954601979738315e-17,-8.905702012587616e-18,0.8951252586257175
1975-11-01,1.5983843041074766e-17,0.18938352504267345,-6.774101645541881e-17,-6.692599633027014e-18,-3.0241308437761653e-17,-5.333053741159187e-18,2.7171628991283174e-17,0.8106164749573266
1975-12-01,3.3658755269859914e-17,0.2875985099699534,-2.755638669647334e-18,-5.622195206162763e-18,-4.456484374911753e-19,5.640951158729083e-17,-2.8453590353177655e-17,0.7124014900300465
1976-01-01,4.2548892312963605e-17,0.33690890589510475,0.0015438622779136574,1.713659279956904e-16,2.692166931405587e-18,6.497793996644504e-17,-4.72261249697776e-17,0.6615472318269814
1976-02-01,6.10928509476472e-17,0.2654553918529873,0.022554258214968495,7.440847283359763e-17,2.36331660375864e-17,-5.684826993373356e-18,-4.925674182028257e-18,0.7119903499320441
1976-03-01,-2.416448711368123e-17,0.23544487783901613,0.07832692218683554,6.929901421698341e-17,3.164626840626901e-17,-7.268614526550902e-17,-6.448077199367469e-19,0.6862281999741483
1976-04-01,4.2213482413148844e-17,0.39789174197331056,0.032313143686829596,-7.017137415510598e-17,-3.8303132502823307e-17,-2.024920468189171e-17,-3.662828157287824e-17,0.56979511433986
1976-05-01,-7.871253087992817e-18,0.29478152826163073,0.0899726231482515,0.003435203739726455,8.105121618215191e-17,-7.935047032712546e-18,-3.488658170385869e-17,0.6118106448503914
1976-06-01,2.2382033535065106e-17,0.28760892324851206,0.1211216830968104,0.012102997448471342,-3.766950378180359e-17,1.1071811978510238e-16,6.47974237482591e-17,0.5791663962062061
1976-07-01,5.249905871519255e-16,0.16732151668857975,0.30188065931136576,-6.24768327256693e-17,-4.6995466912815837e-17,7.146905653922967e-17,1.3325474188608047e-16,0.5307978240000539
1976-08-01,8.807264339980359e-17,0.24378332698834496,0.29944847983076067,-7.163041458467067e-18,1.5504897865660158e-17,-2.5359164676170176e-17,-1.2457352478711958e-16,0.45676819318089446
1976-09-01,5.2516886769315806e-17,0.38519085859758756,0.13330035753452257,3.4335007450151836e-17,1.5029589835744284e-16,1.2724339618100598e-17,5.271675623034264e-18,0.4815087838678897
1976-10-01,-3.1395517009418985e-16,0.8105878740763156,1.214306433183765e-16,4.694470646520956e-18,-2.5332209653325097e-17,-7.067165194823223e-18,-1.0994306671145001e-17,0.18941212592368473
1976-11-01,-1.671808457400417e-17,0.7499840076119576,0.059421405095569535,-5.1342387214400417e-17,-2.803935412829157e-17,2.7905503545628785e-17,-2.6549625017754878e-17,0.19059458729247306
1976-12-01,1.3542702837469058e-16,0.8459061718465716,0.15409382815342812,1.0549170119583276e-16,-8.52178988537816e-17,1.0281029690312275e-16,5.945854329913921e-17,9.693147859954067e-17
1977-01-01,-9.960844698697778e-17,0.9476575910196656,0.05234240898033466,-6.941824971113321e-17,1.0556747698253278e-16,-2.2535446763849386e-17,-2.951205521989658e-17,-2.9105261852974914e-18
1977-02-01,1.6294471304683133e-17,0.9346262125169503,0.06537378748304987,-1.282762268733271e-17,-5.462491156893615e-17,6.445446970572244e-17,1.9743301545074745e-17,-1.601303709133361e-16
1977-03-01,3.1696816802821094e-16,0.8651765440835076,1.0928757898653885e-16,4.396548851767979e-17,0.13482345591649175,1.8817450466163233e-16,1.585341100453045e-16,-2.1060115321907758e-16
