,MSITALL,MSGERML,MSSWITL,MSCNDAL,MSUSAML,MSUTDKL,MSFRNCL,MSJPANL
01/01/1980,0.666522258,0.344975783,-0.435331998,-0.088556579,0.855650637,0.025921763,0.02214128,-0.391323144
01/02/1980,0.81128951,0.384029605,-0.488545134,-0.240088603,0.97714044,0.019290229,0.060626512,-0.52374256
01/03/1980,0.579909952,0.289345736,-0.267447621,-0.186017705,0.875331704,-0.040739554,0.029642324,-0.280024835
01/04/1980,0.514405666,0.299394021,-0.233911061,-0.100963419,0.772730811,-0.04318986,0.011153228,-0.219619386
01/05/1980,0.691456475,0.384339036,-0.420201951,-0.209187641,1.001904396,-0.050292665,0.043238389,-0.441256039
01/06/1980,2.193580108,0.768261845,-1.342972581,-1.260665668,2.629188315,-0.046086933,0.275107075,-2.21641216
01/07/1980,-7.866821008,-1.67494705,5.374402669,5.669428026,-8.384451538,0.266049609,-1.864329161,9.480668454
01/08/1980,2.932220751,0.860961622,-1.975744726,-1.887547092,3.528658086,-0.243047804,0.906450013,-3.121950849
01/09/1980,2.267953578,0.823235922,-1.405541668,-1.428414305,3.118949938,-0.272805243,0.655781175,-2.759159397
01/10/1980,1.387888792,0.638797764,-0.93465301,-0.679086095,2.079336449,-0.127933115,0.384411314,-1.748762099
01/11/1980,0.963115348,0.617596413,-0.640968567,-0.378362113,1.652958804,-0.176006227,0.287205426,-1.325539084
01/12/1980,0.700720923,0.449037199,-0.441337196,-0.174995747,1.235046529,-0.176198067,0.226965085,-0.819238726
01/01/1981,0.465284601,0.334574243,-0.267517855,-0.057625512,0.965667047,-0.104586723,0.154025041,-0.489820843
01/02/1981,0.432267982,0.391183396,-0.201577228,-0.105459246,1.007710413,-0.143204547,0.189188379,-0.570109149
01/03/1981,0.343391566,0.388327544,-0.157966165,-0.031044168,0.805777403,-0.104890658,0.105459363,-0.349054884
01/04/1981,0.46140049,0.437540045,-0.218621853,-0.18837439,1.105866942,-0.116061698,0.192466051,-0.674215588
01/05/1981,0.418934427,0.339798803,-0.13094076,-0.206588188,1.134374757,-0.107074756,0.234903877,-0.68340816
01/06/1981,0.310192615,0.325015079,-0.140080407,-0.153169307,0.905793674,-0.066576543,0.25748945,-0.438664561
01/07/1981,0.381026384,0.33239433,-0.179063198,-0.247734707,1.022929886,-0.064182641,0.32931599,-0.574686045
