,Phi_AA,,guw ret,,min var,mean var,,
01/01/1980,0.744032994,,-0.002866008,,0.056866726,-0.176494341,-0.002866008,-1.18395E-16
01/02/1980,0.760080674,,0.026555007,,-0.011185257,0.14611872,0.026555007,1.76942E-16
01/03/1980,0.752205812,,-0.241486027,,-0.112426933,-0.63325874,-0.241486027,0
01/04/1980,0.767602627,,0.115139002,,0.061770169,0.291414904,0.115139002,1.94289E-16
01/05/1980,0.73027689,,0.074482466,,0.052555471,0.133849934,0.074482466,0
01/06/1980,0.737050579,,0.023536507,,0.034956541,-0.008473993,0.023536507,-3.81639E-17
01/07/1980,0.755515285,,-0.077844874,,0.029857201,-0.410669624,-0.077844874,-3.46945E-16
01/08/1980,0.764764843,,0.006660559,,0.02626045,-0.057059964,0.006660559,0
01/09/1980,0.766316124,,0.044743943,,0.045538157,0.042139489,0.044743943,0
01/10/1980,0.765150621,,-0.1489613,,0.005489536,-0.652169584,-0.1489613,-4.16334E-16
01/11/1980,0.793011061,,-0.043786306,,0.021577222,-0.294205486,-0.043786306,0
01/12/1980,0.793087981,,0.08354946,,0.004312056,0.387264213,0.08354946,0
01/01/1981,0.784844277,,0.011801078,,-0.016670875,0.115660968,0.011801078,6.59195E-17
01/02/1981,0.779173719,,-0.098828767,,0.011527908,-0.488216388,-0.098828767,-1.249E-16
01/03/1981,0.798141734,,0.095687857,,0.053466751,0.262628885,0.095687857,0
01/04/1981,0.802993495,,0.062014323,,0.005410257,0.292731054,0.062014323,0
01/05/1981,0.802516005,,0.122741128,,0.014152927,0.564011162,0.122741128,0
01/06/1981,0.789107258,,0.105528876,,-0.018346009,0.569037339,0.105528876,2.22045E-16
01/07/1981,0.787644171,,-0.176428095,,-0.031834264,-0.712737786,-0.176428095,-6.66134E-16
01/08/1981,0.812720351,,0.019497106,,-0.029129014,0.230515431,0.019497106,0
01/09/1981,0.79713185,,-0.186244926,,-0.06265353,-0.671873834,-0.186244926,0
01/10/1981,0.817303257,,0.067452585,,0.040717045,0.187055396,0.067452585,1.249E-16
01/11/1981,0.812140361,,0.058214254,,0.022665748,0.211894823,0.058214254,5.55112E-17
01/12/1981,0.815830952,,0.023134627,,-0.028422813,0.251523465,0.023134627,5.89806E-17
01/01/1982,0.817985406,,-0.093077674,,-0.04150871,-0.324831949,-0.093077674,0
01/02/1982,0.827889775,,-0.11296305,,-0.0416719,-0.455889878,-0.11296305,-4.44089E-16
01/03/1982,0.84116393,,-0.051336432,,-0.014126906,-0.248390608,-0.051336432,-1.17961E-16
01/04/1982,0.847518411,,0.037504818,,0.028036674,0.090130358,0.037504818,6.245E-17
01/05/1982,0.846963827,,-0.04292984,,-0.047986776,-0.014942721,-0.04292984,0
01/06/1982,0.849648389,,-0.037920966,,-0.048617603,0.022526543,-0.037920966,7.63278E-17
01/07/1982,0.848878717,,-0.013657986,,0.0020733,-0.102023791,-0.013657986,1.38778E-17
01/08/1982,0.853763797,,0.020278085,,0.03932063,-0.090897091,0.020278085,-6.245E-17
01/09/1982,0.85569661,,-0.009160379,,0.010392435,-0.125105519,-0.009160379,-8.1532E-17
01/10/1982,0.858637769,,0.053345791,,0.053145331,0.054563389,0.053345791,0
01/11/1982,0.858382469,,0.106401668,,0.069605245,0.32943482,0.106401668,2.63678E-16
01/12/1982,0.85756296,,0.08973891,,0.040593301,0.385627207,0.08973891,2.77556E-16
01/01/1983,0.857159574,,-0.047940508,,-0.001262156,-0.328048859,-0.047940508,0
01/02/1983,0.861700618,,0.03060147,,0.061654121,-0.162877983,0.03060147,0
01/03/1983,0.862993125,,0.046845116,,0.054809985,-0.003324827,0.046845116,-8.32667E-17
01/04/1983,0.860398524,,0.054912605,,0.034539484,0.1804772,0.054912605,8.32667E-17
01/05/1983,0.854913488,,-0.028064827,,-0.034730186,0.011210398,-0.028064827,0
01/06/1983,0.851509411,,0.067045364,,0.051904182,0.153871465,0.067045364,0
01/07/1983,0.847549131,,-0.040293155,,-0.036247334,-0.062785859,-0.040293155,0
01/08/1983,0.852698297,,-0.007840304,,-0.000214501,-0.051984457,-0.007840304,-1.56125E-17
01/09/1983,0.851849296,,0.051827687,,0.030019751,0.177220777,0.051827687,1.249E-16
01/10/1983,0.848179368,,-0.004484387,,-0.002792511,-0.013936428,-0.004484387,0
01/11/1983,0.846479253,,0.008882564,,0.006941353,0.019585973,0.008882564,1.56125E-17
01/12/1983,0.856469977,,0.035062924,,0.009799942,0.18581177,0.035062924,0
01/01/1984,0.850818336,,-0.018853646,,0.015776203,-0.216355873,-0.018853646,-1.14492E-16
01/02/1984,0.854429326,,-0.031630369,,-0.024315919,-0.074562643,-0.031630369,-5.55112E-17
01/03/1984,0.854813956,,0.116961136,,0.038543018,0.578664614,0.116961136,2.77556E-16
01/04/1984,0.84240351,,-0.011952303,,-0.01082645,-0.017970345,-0.011952303,-3.29597E-17
01/05/1984,0.845504893,,-0.120488501,,-0.065045174,-0.423913022,-0.120488501,-2.35922E-16
01/06/1984,0.854251293,,-0.000195087,,-0.002339577,0.012374035,-0.000195087,-4.96022E-18
01/07/1984,0.856581675,,-0.037515298,,-0.027140151,-0.099482003,-0.037515298,0
01/08/1984,0.853242428,,0.085511403,,0.071117154,0.16919897,0.085511403,0
01/09/1984,0.850714382,,0.004484523,,-0.00771707,0.074016143,0.004484523,1.9082E-17
01/10/1984,0.853904333,,0.043295586,,0.025552512,0.147000837,0.043295586,0
01/11/1984,0.842998168,,0.002910726,,-0.020121084,0.126576628,0.002910726,1.04083E-17
01/12/1984,0.837343048,,0.026691144,,0.029541372,0.012018432,0.026691144,0
01/01/1985,0.834456818,,-0.011951444,,0.061587663,-0.382641484,-0.011951444,-2.18575E-16
01/02/1985,0.849367375,,0.053165558,,0.018901307,0.246370297,0.053165558,0
01/03/1985,0.853648313,,0.003529681,,0.021974539,-0.10405652,0.003529681,-9.75782E-17
01/04/1985,0.85495345,,-0.048962041,,-0.001985765,-0.32585611,-0.048962041,-8.32667E-17
